M1 recupero 1T ignorato nella posizione [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M2 d2 = solo status.extra (ignora gli eventi oltre) [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M3 s1_vivo conta anche i gol (selezione sull'esito) [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M4 regola di copertura 60% ignorata [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M5 autogol mai girati [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M6 finestra 3' lunga 2' [stati.py]: ROSSO; ripristino OK (ba0572a487fb)
M7 gol contati con posizione < t (non <=) [stati.py]: ROSSO; ripristino OK (ba0572a487fb)
M8 un minuto di recupero 2T in piu' [stati.py]: ROSSO; ripristino OK (ba0572a487fb)
M9 minuto live del recupero 2T = 90 fisso [stati.py]: ROSSO; ripristino OK (ba0572a487fb)
M10 AUC senza ranghi medi sui pareggi [metriche.py]: ROSSO; ripristino OK (fc5f016a1df1)
M11 ricampioni non multinomiali [metriche.py]: ROSSO; ripristino OK (fc5f016a1df1)
M12 lettore finto ignora il filtro event_type [produzione.py]: VERDE (test NON falsificato!); ripristino OK (3156bf5620f0)
M13 orizzonti di A0 scambiati [produzione.py]: ROSSO; ripristino OK (3156bf5620f0)
M14 recupero senza condizionare su partita viva [candidati.py]: ROSSO; ripristino OK (c83d95fd0636)
M15 pesi di stagione col segno sbagliato [candidati.py]: ROSSO; ripristino OK (c83d95fd0636)
M16 moltiplicatore hazard lineare in p [candidati.py]: ROSSO; ripristino OK (c83d95fd0636)
M17 oracolo con un minuto in meno [candidati.py]: VERDE (test NON falsificato!); ripristino OK (c83d95fd0636)
M18 media NON condizionata [candidati.py]: VERDE (test NON falsificato!); ripristino OK (c83d95fd0636)
M19 celle del recupero 2T sfalsate [candidati.py]: ROSSO; ripristino OK (c83d95fd0636)
M21 blocco recupero: soglia invertita [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M22 blocco con pochi gol: niente ripiego sulla stagione [dati.py]: ROSSO; ripristino OK (eb47a189be4b)
M20 forza: aggiornamento PRIMA della previsione (sbircia) [forza.py]: ROSSO; ripristino OK (0c3e62855e21)
V1 pesi di stagione col segno sbagliato [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V2 recupero senza condizionare su partita viva [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V3 esponente beta della forza ignorato [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V4 recupero 1T anche senza il tempo [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V5 idempotenza tolta [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V6 leghe affidabili senza soglia [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V7 d2 solo da status.extra [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V8 shrinkage senza K [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V9 ripiego del recupero sul bucket sbagliato [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V10 stagione senza recupero registrato contata tutta [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V12 recupero 1T sulla cella propria per default [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
V11 regola di affidabilita' sempre vera [atlante_v4.py]: ROSSO; ripristino OK (dbc583d4a9a2)
suite dopo i ripristini: VERDE
